"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903050","regulation of proteolysis involved in protein catabolic process","89/4408","248/18860",0.358870967741935,1.53545972132779,4.68783452120613,5.29294982811699e-06,0.000321394020813065,0.000269201142573764,"AGTPBP1/AKT1/ALAD/APOE/ATP5IF1/AURKA/AXIN1/BAG6/CLU/COP1/CSNK1A1/CSNK2B/CTSC/DAB2IP/DDRGK1/DISC1/DNAJB2/DVL1/ELOB/FBXO38/FBXW7/FZR1/GABARAP/GCLC/GIPC1/GLMN/GPX1/GSK3B/HAMP/HECTD1/HERPUD1/HSP90AB1/HSPA1A/HSPA1B/HSPBP1/KEAP1/L3MBTL3/LAPTM5/LRRK2/MAP1A/MAPK3/MARCHF7/MDM2/MTOR/NFE2L1/NOP53/NUPR1/OGT/PAQR3/PHF20L1/PIAS1/PINK1/PKD1/PML/PSEN1/PSMC3/PSMC5/PSME3/PTK2B/PYHIN1/RAD23A/RHBDF1/RNF139/RYBP/SGTA/SHH/SIRT2/SMAD7/SVIP/TF/TMEM168/TMEM259/TMF1/TMX1/TRAF7/TRIB1/UBE3A/UBQLN1/UBQLN4/UBXN1/UFL1/USP19/USP25/USP38/USP5/USP7/USP9X/XBP1/XPO1",89
"GO:0000209","protein polyubiquitination","104/4408","300/18860",0.346666666666667,1.4832425892317,4.65964671679644,5.38999736805408e-06,0.000324169841707253,0.000271526183202725,"AKT1/ANAPC1/ANAPC10/ANAPC2/ANAPC5/ANAPC7/AREL1/ATM/AXIN1/BCL2/CDC27/CDC34/CEP63/CUL1/CUL3/DDX3X/DTL/DUSP22/DZIP3/FBXO38/FBXO4/FBXO7/FOXO4/FZR1/GABARAP/GPS2/HAMP/IRF2BP1/ITCH/KEAP1/KLHL3/LNPEP/LRSAM1/MARCHF1/MARCHF7/MDC1/MDM2/MGRN1/MYCBP2/NBN/NEDD4/NFE2L1/NHLRC3/NT5C2/PARP10/PELI1/PELI3/PLAA/RBCK1/RC3H1/RC3H2/RFFL/RIPK2/RNF111/RNF126/RNF135/RNF166/RNF168/RNF187/RNF20/RNF213/RNF31/RNF41/RNF6/RUSC1/SETD2/SHARPIN/SKP2/SPSB3/SQSTM1/STAMBPL1/TAX1BP1/TCF25/TMEM129/TNKS/TNKS2/TPP2/TRAF2/TRAF6/TRAF7/TRIM22/TRIM26/TRIM55/TRIM56/TRIM65/TRIP12/UBE2D3/UBE2E2/UBE2G1/UBE2J1/UBE2Q1/UBE2S/UBE2W/UBE3A/UBE3C/UBE4A/UBL7/UBR2/UBR4/UBR5/USP25/USP38/WSB1/ZNF598",104
"GO:0043085","positive regulation of catalytic activity","109/4408","318/18860",0.342767295597484,1.46655880103642,4.63401894121244,5.83431058003039e-06,0.000347581804838603,0.000291136153571526,"ABI1/ABR/ADCYAP1/ADORA3/AGRN/AKT1/APC2/ARHGEF7/ARRDC3/AVPR2/B3GAT3/BCAS3/BMP2/CACNA1D/CACUL1/CAMK1/CARD10/CCDC88A/CEMIP/CENPE/CHI3L1/CHTF18/CORO1C/CR1/DDR2/DIPK2A/DOCK10/DOCK11/DOCK8/DOCK9/ECT2/EDNRA/ERBB2/EVI5L/EZH2/F2RL1/FGF23/FZR1/GBA3/GRN/HLA-DRB1/HMGA2/IFNG/ITGA6/JAK2/JTB/LCP2/LILRA5/MAP2K2/MAP3K10/MAP3K11/MAP3K7/MAPK14/MAPK3/MAPK8/MBP/MID1IP1/MMUT/MTMR9/MTSS2/NEDD9/NET1/NF1/PABPN1/PDCD10/PDGFB/PIBF1/PIK3CG/PIM1/PLSCR1/PTK2B/PTPRC/RALBP1/RALGAPA1/RALGAPA2/RALGAPB/RANGAP1/RAPGEF3/RASGRP1/RASSF2/RCN3/RFC3/RFK/RGP1/RGS1/RGS8/RHOC/RIC1/RSU1/SCRIB/SEMA4D/SETMAR/SIRT3/SNX13/SNX18/SRC/SRCIN1/STK11/STX4/SYDE1/TANK/TGM2/TLR6/TNFSF15/TRAF2/TRAF6/UBE2S/XRCC4/XRCC5",109
"GO:1905037","autophagosome organization","61/4408","155/18860",0.393548387096774,1.68382998653475,4.72118784803211,6.07421016292276e-06,0.000358491936251002,0.00030027453092658,"AP5Z1/ATG14/ATG16L1/ATG2A/ATG2B/ATG5/ATG7/ATM/BAG3/C9orf72/CASP8/CLN3/CSNK1A1/CUL1/DNAJC16/EFNB1/EHMT2/ELAVL1/GABARAP/IRGQ/LAMTOR1/LRBA/LRRK2/LRSAM1/MAP1LC3A/MAPK3/MTOR/NUPR1/PACS2/PHF23/PIK3C3/PIKFYVE/PINK1/PIP4K2A/PIP4K2C/PSEN1/RAB19/RAB1B/RAB3GAP2/RB1CC1/RETREG3/SCFD1/SEC22B/SETD2/SNX18/SPG11/STBD1/STX17/SYK/TBC1D14/TP53INP1/TP53INP2/TRAF6/UBE3C/UBQLN1/UBXN2B/ULK1/USP33/USP7/VMP1/ZRANB1",61
"GO:1903052","positive regulation of proteolysis involved in protein catabolic process","56/4408","139/18860",0.402877697841727,1.72374622987635,4.72982790981805,6.28436442251312e-06,0.000367460753038614,0.000307786854026593,"AGTPBP1/AKT1/ATP5IF1/AURKA/AXIN1/BAG6/CLU/COP1/CSNK1A1/CTSC/DAB2IP/DDRGK1/DISC1/DNAJB2/DVL1/ELOB/FBXW7/FZR1/GABARAP/GCLC/GSK3B/HAMP/HECTD1/HERPUD1/HSPA1A/HSPA1B/HSPBP1/KEAP1/L3MBTL3/LAPTM5/LRRK2/MDM2/MTOR/NOP53/NUPR1/PAQR3/PIAS1/PSEN1/PSMC3/PSMC5/PTK2B/PYHIN1/RAD23A/RNF139/SGTA/SIRT2/SMAD7/TF/TMEM259/TMX1/TRAF7/TRIB1/UBQLN1/UFL1/USP5/XBP1",56
"GO:0070663","regulation of leukocyte proliferation","99/4408","284/18860",0.348591549295775,1.49147836200506,4.60896720313367,6.86528163041466e-06,0.00039774544491806,0.000333153454300663,"ARG1/ATAD5/ATM/BCL2/BCL2L1/BMP4/CASP3/CCDC88B/CCR2/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD81/CD86/CR1/CSF1/CSF2RB/CTLA4/DHPS/DLG5/EFNB1/ERBB2/FCGR3A/FCRL3/FLT3LG/GLMN/GPR183/GSTP1/HES1/HHEX/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IKZF3/IL15/IL1B/IL2RA/IL6ST/IL7/IRF1/ITCH/JAK2/LAPTM5/LST1/LYN/MAD1L1/MAPK1/MAPK3/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NF1/NFATC2/NR5A2/PDCD1LG2/PELI1/PKN1/PRKCQ/PTPN11/PTPRC/PYCARD/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHH/SLAMF1/SLC4A2/SOS1/SOS2/SOX11/STAT6/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13/TNFSF13B/TNFSF4/TRAF6/TYK2/ZAP70/ZBTB7B/ZNHIT1",99
"GO:0046634","regulation of alpha-beta T cell activation","51/4408","124/18860",0.411290322580645,1.75974035478017,4.68763454070612,8.03878225142949e-06,0.000461499181070702,0.000386553883382136,"AP3B1/AP3D1/BRD2/BRD4/CCR2/CD274/CD28/CD55/CD69/CD81/CD83/CD86/GATA3/GPR65/HLA-DRA/HLA-DRB1/HLX/IFNG/IL2RA/IL2RG/IRF1/IRF4/ITCH/ITPKB/JAK2/JUNB/LGALS1/MALT1/NCKAP1L/NFKBIZ/PRDM1/PRKCQ/PTPRC/RARA/RC3H1/RC3H2/RIPK2/RUNX1/RUNX3/SHB/SHH/SLC4A2/SMAD7/SYK/TARM1/TBX21/TGFBR2/TNFSF4/TYK2/ZAP70/ZBTB7B",51
"GO:0034504","protein localization to nucleus","116/4408","345/18860",0.336231884057971,1.43859649122807,4.54076461109833,8.30876454676421e-06,0.000472701334349693,0.000395936859625321,"ABCA7/AKT1/ARL2/ATF2/BAG3/BMP4/BRAT1/CARD10/CCT2/CDH1/CIZ1/CTDNEP1/DVL1/E2F3/ECT2/EDN1/EFCAB7/EIF2AK3/ELAVL1/FAM76B/FBXO4/FLCN/FLNA/FNIP1/FYN/GLIS2/GSK3B/HDAC3/HEATR1/HHEX/HIKESHI/IFNAR2/IFNG/ING1/INSIG1/INTS13/IPO11/JAK2/JUP/KPNA1/KPNA2/KPNA3/LIMK2/LMNA/LMNB2/LRRK2/LZTS2/MAPK14/MBTPS2/MDFIC/MDM2/MEPCE/MFHAS1/MSX1/MTOR/NF1/NGFR/NOP53/NR4A1/NUAK2/NUP153/NUP155/NUP35/NUP50/NUP58/NUP62/NUP98/OSBPL8/OTUD7B/PAF1/PAQR3/PIK3R2/PIKFYVE/PIN1/PINX1/PML/PPP1R10/PSEN1/PYHIN1/RANBP2/RANBP6/RANGAP1/RAP1GDS1/RASSF5/RGPD8/RRP7A/RRS1/SEC13/SHH/SIX2/SIX3/SP100/SPG11/SPRN/SQSTM1/SRC/STK11/STK4/SUN2/SYK/TBK1/TBRG1/TFRC/TGFB1/TNPO1/TNPO2/TRIM28/TSC2/TYK2/UBR5/WWTR1/XBP1/XPA/XPO1/ZBTB7A/ZPR1",116
"GO:0050670","regulation of lymphocyte proliferation","90/4408","254/18860",0.354330708661417,1.51603383969018,4.57282602513376,8.45279741971232e-06,0.000476601925941815,0.000399204013477955,"ARG1/ATAD5/ATM/BCL2/BMP4/CASP3/CCDC88B/CCR2/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD81/CD86/CR1/CTLA4/DHPS/DLG5/EFNB1/ERBB2/FCGR3A/FCRL3/FLT3LG/GLMN/GPR183/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IKZF3/IL15/IL1B/IL2RA/IL6ST/IL7/IRF1/ITCH/JAK2/LAPTM5/LST1/LYN/MAD1L1/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/NR5A2/PDCD1LG2/PELI1/PKN1/PRKCQ/PTPN11/PTPRC/PYCARD/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHH/SLAMF1/SLC4A2/SOS1/SOS2/SOX11/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13/TNFSF13B/TNFSF4/TRAF6/TYK2/ZAP70/ZBTB7B/ZNHIT1",90
"GO:0051052","regulation of DNA metabolic process","158/4408","497/18860",0.317907444668008,1.36019383086176,4.49426621760253,8.61539740197934e-06,0.000481471102597341,0.000403282458732615,"ACTR8/AKT1/ARID1B/ARID2/ATAD5/ATF1/ATM/ATR/ATXN7/BABAM1/BABAM2/BAX/BCL7B/BCL7C/CCT2/CD28/CDC6/CDK9/CHTF18/CIZ1/CYREN/DBF4/DBF4B/DCP2/DEK/DHX36/DHX9/E2F7/E2F8/EHMT2/ENDOG/EPC1/EPC2/ERCC1/ERCC4/ESCO1/EXOSC3/FAF1/FBH1/FBXO4/FBXO5/FH/GFI1/GZMA/H1-0/H1-10/H1-4/HDAC10/HDGFL2/HELB/HMGA2/HNRNPA1/HNRNPC/HSF1/ID3/IER3/IL7R/ING3/INO80B/INO80E/JADE2/KAT2A/KCTD13/KMT5C/KPNA1/KPNA2/LIG3/LMNA/MAGEF1/MAP2K7/MAPK1/MAPK15/MAPK3/MBTD1/MCM7/MDC1/MSH3/NBN/NIBAN2/NSMCE4A/OBI1/ORC3/PARN/PARP3/PARPBP/PBRM1/PDGFB/PDS5A/PELI1/PIAS4/PINX1/PML/POLH/POT1/PPP1R10/PPP4C/PPP4R3A/PRKCQ/PRKDC/PTPRC/RAD51AP1/RFC3/RNF126/RNF168/RNF169/RUVBL2/SENP3/SETD2/SETMAR/SGF29/SH2B1/SHLD2/SKP2/SLC15A4/SLF1/SLX1A/SLX4/SMARCA4/SMARCA5/SMARCAD1/SMARCC2/SMARCD2/SMARCD3/SMC5/SMC6/SMCHD1/SMG1/SRC/STAT6/STN1/SUB1/SUPT20H/SUPT6H/SUV39H1/TAF5L/TAF6/TBX21/TENT4B/TFPT/TFRC/TGFB1/TMEM161A/TNFSF13/TNFSF4/TNKS/TNKS2/TOP2B/TRIM28/UBQLN4/UPF1/USP7/VEGFA/WAPL/WIZ/WRNIP1/XRCC5/XRN1/ZBTB38",158
"GO:0006352","DNA-templated transcription initiation","84/4408","234/18860",0.358974358974359,1.53590208944111,4.55564345019108,9.4705494652457e-06,0.000524618595377426,0.000439423001503782,"APOBEC2/APOBEC3C/ARID1B/ARMC5/ATAD2/ATAD2B/ATF2/BCLAF1/BRF1/CAND1/CAVIN1/CCNH/CDK4/CDK9/CRCP/CUL3/DHX36/DR1/E2F3/EGR1/ELOB/ERCC1/FOXO1/GTF2A1/GTF2B/GTF2F1/INTS1/INTS10/INTS11/INTS12/INTS13/INTS14/INTS3/INTS4/INTS5/INTS6/INTS7/INTS9/JUN/KAT8/L3MBTL3/MAZ/MED12/MED13/MED14/MED16/MED22/MED23/MED24/MED25/MED27/MED29/MED31/MED6/NFKB1/NFKBIZ/NOC2L/POLR1F/POLR3H/POLRMT/PPP2R1A/PRMT3/SETX/SGF29/SMARCA4/SMARCA5/SPHK2/SPI1/SRF/SUB1/TAF11/TAF1C/TAF4B/TAF6/TBPL2/TET2/TFAM/THRA/TRMT112/UBTF/WBP2/XPA/ZNF451/ZNHIT1",84
"GO:0045732","positive regulation of protein catabolic process","79/4408","217/18860",0.36405529953917,1.55764132243847,4.56292218329516,9.56857117989648e-06,0.000525439365226489,0.000440110482187458,"ABCA2/AKT1/APC/APOE/ATG7/AURKA/AXIN1/BAG6/CD81/CLU/COP1/CSNK1A1/DAB2IP/DDRGK1/DNAJB2/DTL/DVL1/EGLN2/ELOB/FAF1/FBXL5/FBXW7/FOXO1/FZR1/GABARAP/GCLC/GGA1/GSK3B/HAMP/HECTD1/HERPUD1/HSPA1A/HSPA1B/HSPBP1/IDE/IER3/IFNG/IL1B/ITCH/KEAP1/LRRK2/MDM2/MTOR/NEDD4/NOP53/NRDC/NUPR1/OAZ3/PACSIN3/PAQR3/PIAS1/PLK2/PPP2R3A/PSEN1/PSMC3/PSMC5/RAD23A/RGMA/RHBDD1/RHBDD3/RNF41/SEC22B/SGTA/SIRT2/SMAD7/SNX1/SNX33/SORL1/STX5/TF/TMEM259/TMX1/TNFSF12/TRIB1/UBQLN1/UBR3/USP5/VPS28/XBP1",79
"GO:0042100","B cell proliferation","41/4408","94/18860",0.436170212765957,1.86619106460208,4.64951782356123,1.12641524665479e-05,0.000613216576088363,0.00051363308660983,"ATAD5/ATM/BAX/BCL2/CASP3/CD180/CD19/CD320/CD38/CD70/CD79A/CD81/CR2/CTLA4/FCRL3/FOSL2/GPR183/IGHE/IKZF3/IL7/IL7R/LEF1/LYN/MEF2C/MNDA/MZB1/NCKAP1L/NFATC2/NFKBIZ/PELI1/PKN1/PLCL2/PTPRC/RASGRP1/RC3H1/SHB/TCF3/TFRC/TLR4/TNFSF13/TNFSF13B",41
"GO:0016050","vesicle organization","131/4408","401/18860",0.326683291770574,1.3977420333015,4.44616665951846,1.15230614558021e-05,0.00061719052136122,0.000516961681850253,"AGFG1/AGFG2/AP1G1/AP1M1/AP1S2/AP1S3/AP3B1/AP3D1/APOE/ARFGAP3/ARFGEF2/ARL8B/ATP6AP1/ATP6V0C/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/BCL2/BLOC1S3/C9orf72/CC2D1A/CCDC136/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CLCN3/CLN3/CORO1C/CPLANE2/CPLX1/CUL3/DLG4/DNM3/FASLG/FBXO5/GOLPH3L/GOSR2/GRIK5/HGS/HOOK2/HPS5/INSIG1/IRAG2/LAMTOR1/LRRK2/LYST/MAPK15/MIA3/MICALL2/MVB12A/MYO18A/PDCD6IP/PHETA1/PICALM/PIK3C3/PIKFYVE/PIP4K2A/PLEKHF1/PLEKHF2/POC1B/PREB/PRRT2/RAB27A/RAB29/RAB2A/RAB34/RAB5B/RPH3A/RPH3AL/RUFY1/SAMD9/SDC1/SEC13/SEC23B/SEC24A/SEC24B/SEC24D/SEC31A/SEPTIN8/SERPINE2/SLAMF1/SLC17A7/SLC2A4/SNAP25/SNAP91/SNX10/SNX19/SNX33/SPG11/SQSTM1/SRGN/STAM2/STX10/STX11/STX17/STX4/STX5/STX7/SYNJ1/SYT5/SYT7/TGFBRAP1/TMED2/TMF1/TRAPPC10/TRAPPC11/TRAPPC12/TRAPPC13/TRAPPC4/TRAPPC5/TRAPPC8/TSNARE1/UBR4/USO1/USP50/UVRAG/VAMP2/VAMP8/VPS13B/VPS28/VPS36/VPS39/VPS8/VTI1A/WASHC4/WASHC5/ZDHHC20/ZFYVE16/ZNF385A",131
"GO:0046635","positive regulation of alpha-beta T cell activation","35/4408","76/18860",0.460526315789474,1.97040070684879,4.68144588230574,1.15326178179927e-05,0.00061719052136122,0.000516961681850253,"AP3B1/AP3D1/BRD2/BRD4/CCR2/CD28/CD55/CD81/CD83/CD86/GPR65/HLA-DRA/HLA-DRB1/HLX/IFNG/IL2RG/ITPKB/JAK2/MALT1/NCKAP1L/NFKBIZ/PRKCQ/PTPRC/RARA/RIPK2/RUNX1/RUNX3/SHB/SHH/SYK/TGFBR2/TNFSF4/TYK2/ZAP70/ZBTB7B",35
"GO:0007033","vacuole organization","94/4408","270/18860",0.348148148148148,1.48958123277543,4.47489753568924,1.22612247300468e-05,0.000650669194707946,0.000545003576014907,"AP3B1/AP5Z1/ARL8B/ATF2/ATG14/ATG16L1/ATG2A/ATG2B/ATG5/ATG7/ATM/ATP6AP1/ATP6V0C/ATP6V1A/ATP6V1D/B4GALNT1/BAG3/C9orf72/CASP8/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CLN3/CREG1/CSNK1A1/CUL1/DNAJC16/EFNB1/EHMT2/ELAVL1/EXT1/FLCN/FNIP1/GAA/GABARAP/GNPTAB/GRN/HEXB/HOOK2/HSD17B1/IRGQ/LAMP2/LAMTOR1/LAPTM5/LRBA/LRRK2/LRSAM1/MAN2A1/MAP1LC3A/MAPK3/MFSD8/MTOR/NUPR1/PACS2/PHF23/PI4KB/PIK3C3/PIKFYVE/PINK1/PIP4K2A/PIP4K2C/PSEN1/RAB19/RAB1B/RAB34/RAB3GAP2/RB1CC1/RETREG3/SCFD1/SEC22B/SETD2/SNX18/SPG11/STBD1/STX17/SYK/SYT7/TBC1D14/TFE3/TMEM106B/TMEM165/TP53INP1/TP53INP2/TRAF6/UBE3C/UBQLN1/UBXN2B/ULK1/USP33/USP7/VMP1/WASHC5/ZRANB1",94
