"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","105/2120","368/9399",0.285326086956522,1.2649905147662,2.79856957365542,0.00374800232657878,0.0184760678070785,0.0126137365179152,"11047/10189/22926/22863/23130/55102/513/11273/572/581/596/598/203228/836/1340/1346/54205/1616/1639/10540/84516/1649/79139/146754/1769/10126/9451/2876/2878/2906/3178/64837/89953/84557/5608/4217/6300/1432/4508/4509/4512/4513/4514/4519/4535/4536/4537/4538/4539/4540/4541/2475/4686/126328/4696/4716/4713/4720/374291/4723/4729/4744/29982/9972/9631/23279/23165/129401/79023/10762/9818/23636/4928/5289/30849/65018/5533/5630/5682/5684/5689/5691/5702/5705/5707/5710/9861/116442/5903/9821/6396/23064/80208/8878/6432/10010/29110/7186/10383/29979/56893/8408/10975/55255/7494",105
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","63/2120","205/9399",0.307317073170732,1.36248734468477,2.831830929404,0.00383924735512914,0.0186630079763222,0.0127413618364666,"81/1386/1388/572/581/836/841/595/894/1019/1108/1654/1960/2957/2959/8349/554313/8360/8367/8365/83933/79885/8841/10014/3134/3265/3572/3661/3665/3725/2648/4055/4067/8379/5594/5595/9261/4193/4790/4791/5290/5296/8503/5567/5922/5925/5934/11317/5970/23513/6502/6672/6714/6722/6850/387332/8717/7186/7187/7188/7337/23352/7874",63
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","34/2120","98/9399",0.346938775510204,1.53814978821717,2.89002221084636,0.0039680537283227,0.0190249151357937,0.0129884383032336,"54928/808/10423/8526/160851/1609/3612/3613/3628/8821/56623/253430/3707/3708/3709/8776/9110/9107/5298/5289/5290/5296/8503/200576/5305/79837/8395/23396/5331/5333/113026/23262/5579/8867",34
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","32/2120","91/9399",0.351648351648352,1.55902964959569,2.89185918918364,0.00403824714990106,0.0190998176008834,0.0130395747230091,"207/55024/8915/930/973/975/1147/1380/27071/2932/3265/3725/353514/4067/10892/5605/5594/5595/4773/4790/4793/118788/5290/5296/8503/5533/5579/25780/5970/6654/6655/6850",32
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","46/2120","142/9399",0.323943661971831,1.43620116927983,2.82647830846437,0.00425503853916658,0.0198568465161107,0.0135564034861868,"92/207/596/652/808/6347/1147/1514/1906/2817/2949/2950/2953/3326/7184/3458/3553/3725/9817/6416/5608/5609/4217/6885/6300/1432/5598/5599/4208/4313/4318/4790/5154/5155/5175/51588/5290/5296/8503/5970/6382/6401/8878/6714/25828/7422",46
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","53/2120","170/9399",0.311764705882353,1.38220588235294,2.71390284070807,0.00552151316837122,0.0254280211701306,0.0173598821221644,"207/324/10297/57492/196528/8312/572/581/598/595/1019/1452/1855/1856/1857/1871/7855/8323/8324/8325/10912/2932/2949/2950/2953/3265/3481/9817/51176/4041/5605/5594/5595/2475/55193/5290/5296/8503/51426/5579/5925/6597/6601/6603/6604/6654/6655/83439/7040/7043/7048/7296/51384",53
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","43/2120","133/9399",0.323308270676692,1.43338416796709,2.71645494132835,0.00580736183405749,0.0263193456108653,0.0179683953493727,"207/472/10018/595/894/1147/356/2290/2308/4303/100132074/11337/10912/9454/3265/3575/5605/5594/6300/1432/5595/5599/4193/51701/5290/5296/8503/10769/5934/1901/6446/6502/6517/6648/6654/6655/6794/6789/7040/7043/7048/8743/7874",43
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","32/2120","93/9399",0.344086021505376,1.52550213024954,2.74842710042656,0.00586545416470713,0.0263193456108653,0.0179683953493727,"115/776/808/1958/2767/2776/1839/3265/3708/3709/3725/5605/6416/5608/5609/4214/10746/5594/6300/1432/5595/5598/5599/4313/5331/5338/5567/5579/2185/6654/6655/6714",32
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","47/2120","149/9399",0.315436241610738,1.39848360136761,2.64595535874897,0.00680097781493976,0.0298212536251349,0.0203591716478364,"115/10554/55326/207/554/3576/3577/3579/9266/27128/8526/160851/1609/26052/2534/9846/10672/3265/2846/57121/10161/5605/5594/5595/2475/5154/5155/5290/5294/5296/8503/8395/23396/5331/5338/8611/5737/2185/5781/10411/11069/6237/6654/6655/56848/6850/7249",47
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","69/2120","233/9399",0.296137339055794,1.31292209895538,2.61020164979492,0.00681628654288797,0.0298212536251349,0.0203591716478364,"375790/270/477/478/633/829/1302/85301/1282/1284/1286/1289/50509/1291/1292/256076/1297/1298/1299/1605/1674/1824/1829/2006/2010/2026/2275/2318/3339/64423/3672/3675/3676/3655/3679/3728/3930/4000/84823/56203/4629/79784/57644/4627/4636/10398/91977/84665/22795/84033/9260/5339/6382/6442/6640/6709/6711/57731/51332/25777/23224/161176/7060/7138/7140/7169/84675/7273/1462",69
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","17/2120","42/9399",0.404761904761905,1.79450808625337,2.78486689956875,0.00690788241880268,0.0298488746491474,0.020378028707839,"2180/2182/51703/9474/10533/1536/2729/2879/84557/8031/6303/112483/23516/64116/23657/7018/7037",17
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","49/2120","157/9399",0.312101910828025,1.3837008772984,2.61643185131886,0.00725809400595594,0.0309796695376168,0.0211500300301925,"6868/240/203859/196527/383/23200/286410/10396/558/9564/682/836/9023/6376/1847/1849/1850/9844/2057/26762/3091/3717/5605/5594/6300/1432/5595/9261/4773/4776/7376/4953/5175/5467/5743/5781/5869/1901/8578/6446/10326/55423/54896/56848/7040/9392/55754/23339/23355",49
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","26/2120","73/9399",0.356164383561644,1.57905143447919,2.68028303477785,0.00748093941548056,0.0315461300652795,0.0215367564656194,"27125/27350/905/1025/29082/7852/22936/80237/9146/2648/4130/55201/29969/4298/7469/25920/51497/7936/9972/10015/5300/653598/5903/256987/6829/7514",26
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","45/2120","144/9399",0.3125,1.38546580188679,2.51552524182972,0.00955381659026056,0.0393392447834258,0.0268571686190606,"37/126/207/720/721/10645/836/841/595/1147/2919/2920/2921/3576/356/2194/2308/2932/84818/3553/3654/51135/3661/3929/51176/64900/23643/6416/5608/5609/4217/6885/6300/1432/5599/4790/5970/10454/29110/83439/7099/6434/8717/7187/7189",45
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","45/2120","144/9399",0.3125,1.38546580188679,2.51552524182972,0.00955381659026056,0.0393392447834258,0.0268571686190606,"11047/207/22863/23130/55102/6310/11273/23152/54205/2776/2906/116444/2959/3708/3709/4217/5599/2475/29982/5289/5290/5296/8503/30849/5331/5579/5682/5684/5689/5691/5702/5705/5707/5710/9861/23369/9821/11317/6095/6261/293/387332/7186/8408/7494",45
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","27/2120","78/9399",0.346153846153846,1.53466981132075,2.55888932186482,0.00991750903871494,0.0403619553901189,0.0275553800708481,"10423/3612/3613/3628/8821/56623/253430/3707/8776/9110/9107/5298/5289/5290/5294/200576/5305/79837/8395/23396/5331/5333/113026/23007/9651/23262/8867",27
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","26/2120","75/9399",0.346666666666667,1.53694339622642,2.51946190350416,0.0110242384309371,0.0443503844922758,0.0302783076082605,"84883/472/545/581/27113/596/598/836/841/595/894/1019/64326/54205/10912/92344/4193/55367/10848/50484/5054/51246/10572/7161/7249/25946",26
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/2120","10/9399",0.6,2.66009433962264,2.83447669353978,0.0117538642662148,0.0467483237860817,0.0319153969907986,"54928/23474/4357/9061/9060/8991",6
