"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","49/2120","122/9399",0.401639344262295,1.78066424373647,4.68371236319451,8.6625410751139e-06,0.000144375684585232,9.85662568446544e-05,"207/477/478/572/652/595/1734/2308/2626/2932/8841/3091/3265/2648/5605/5594/5595/4193/9968/9969/23389/9282/10025/9862/9442/2475/8648/10499/8202/9611/4854/4855/5208/5211/5214/5290/5296/8503/5331/5333/113026/5567/5579/6257/6548/6714/6772/7067/7249",49
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","70/2120","196/9399",0.357142857142857,1.58338948787062,4.45422052754739,1.61626228064945e-05,0.000257132635557867,0.000175546190290634,"207/22863/581/808/836/841/595/1230/942/1019/1147/2919/2920/2921/3576/54205/1871/2783/2790/2932/3091/3134/3265/3455/3459/3572/3661/3665/3708/3709/3717/3725/51176/4067/84557/5605/6416/5608/5609/5594/6300/1432/5595/5599/9261/100507436/2475/4773/4776/4790/5155/5289/5290/5294/5296/8503/5533/5743/5925/5970/6714/6772/6850/29110/83439/8717/7186/7187/7297/7422",70
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","62/2120","169/9399",0.366863905325444,1.62648766328012,4.43511429463676,1.89411547408396e-05,0.00028823496344756,0.000196779960007808,"207/84335/22863/55054/23130/55102/9474/10533/572/596/598/57448/203228/10645/8837/1514/1613/54541/9451/57724/11337/3091/3265/3708/3920/84557/5605/6885/5594/5595/5599/9110/2475/29982/5289/5290/5296/8503/30849/5567/5588/116442/9821/6237/8878/6794/55014/8417/55578/170067/10010/8887/29110/58476/7189/7249/8408/7405/8673/81671/23339/55255",62
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","64/2120","180/9399",0.355555555555556,1.57635220125786,4.21339419312106,4.30019545456308e-05,0.000627111837123782,0.000428133494818341,"207/10189/567/572/581/596/598/330/64170/836/841/6347/1147/54205/1616/8890/1978/356/3054/3112/3113/3122/3123/3126/3134/64135/3455/3458/3459/3553/3654/51135/3661/3665/3717/6885/2475/4790/4940/5290/5296/8503/5371/5451/5781/5970/6672/6714/6732/6432/6772/6850/10454/6892/29110/7097/8717/7186/7187/7188/7189/7249/7297/56829",64
"Human Diseases","Infectious disease: viral","hsa05162","Measles","51/2120","136/9399",0.375,1.66255896226415,4.20018042167483,5.23088844231201e-05,0.000732324381923682,0.000499962811117822,"207/572/581/27113/596/598/836/841/595/894/940/915/4179/1019/1147/1460/54205/356/2932/3303/3304/64135/3455/3553/3559/3560/3561/3654/51135/3661/3665/3725/6885/5599/4790/4793/4940/5290/5296/8503/5970/6504/6772/29110/7097/7099/7161/8717/7187/7189/7297",51
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","21/2120","41/9399",0.51219512195122,2.27081224114128,4.40079956061622,5.48802453528134e-05,0.000738772533595565,0.000504365007898326,"595/999/1019/3576/1613/1871/2064/1839/3265/5605/5594/5595/4193/4312/4313/4318/11186/5925/6714/1890/7422",21
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","83/2120","250/9399",0.332,1.47191886792453,4.08131695138322,6.06525546535358e-05,0.000768036577313801,0.000524343768572129,"23527/116983/10096/653857/116988/160/116984/377/26286/10565/10564/50807/274/829/5119/27243/29082/92421/1212/3577/3579/7852/9266/27128/26052/10938/30846/30845/29924/55040/28964/9815/6011/157/2868/2869/9146/3134/3265/3303/3304/3559/3560/3561/23096/83737/4193/93343/4734/84612/10015/8395/23396/5338/5371/5662/84249/9230/80223/9727/26056/5869/10193/80230/6455/6456/56904/64744/6642/29934/6643/27131/6714/10254/10617/7037/7048/7189/51160/51028/23325/9897/9765",83
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","30/2120","68/9399",0.441176470588235,1.95595172031077,4.26949109271293,6.14429261851041e-05,0.000768036577313801,0.000524343768572129,"207/572/597/595/1147/1848/1978/2209/3265/3728/51176/5605/5594/5595/2475/4790/5290/5296/8503/5292/11040/5371/5467/5914/5970/861/6654/6655/6688/83439",30
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","38/2120","95/9399",0.4,1.77339622641509,4.08863923276516,9.53890837080472e-05,0.00114114678932322,0.000779068635116906,"537/527/8992/523/526/528/51382/6347/940/942/1435/1493/1514/2919/2920/2921/6372/3576/3112/3113/3122/3123/3126/3458/3600/3553/3683/3725/4312/4314/7010/7040/7043/7097/7099/8741/10673/7422",38
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","41/2120","105/9399",0.39047619047619,1.73117250673854,4.06595866693281,9.78125819419904e-05,0.00114114678932322,0.000779068635116906,"207/8915/808/64170/841/1147/338339/64581/1540/1960/3265/3553/3659/3708/3709/3725/4046/10892/5594/6300/1432/5595/5599/9261/4193/4773/4776/4790/4791/5290/5296/8503/5533/5743/5781/29108/5970/6237/6714/6772/6850",41
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","37/2120","93/9399",0.397849462365591,1.76386183810103,3.99507148681127,0.000133878499062834,0.00148528760159849,0.00101401589642965,"915/1147/28514/2625/3112/3113/3122/3123/3126/3458/3459/3559/3560/3561/3714/3717/3725/5594/6300/1432/5595/5599/4773/4790/4793/4854/5533/5588/11317/5970/864/6772/6775/6778/30009/7297/7535",37
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","40/2120","103/9399",0.388349514563107,1.72174390914087,3.97469193384908,0.000136103043859588,0.00148528760159849,0.00101401589642965,"207/624/841/6347/915/8837/1147/3576/356/2767/9630/2776/3458/3459/3553/3654/51135/3725/6416/5594/6300/1432/5595/5599/4790/5290/5296/8503/5331/5518/5520/5970/5054/7040/7043/7048/7097/7099/10333/7189",40
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","45/2120","120/9399",0.375,1.66255896226415,3.94197948451039,0.000141133671416757,0.00148528760159849,0.00101401589642965,"207/396/572/581/596/27018/808/814/356/2932/3265/3654/11213/51135/3725/5605/5609/4214/4217/5594/6300/1432/5595/5598/5599/9261/4790/4793/4804/5290/5296/8503/5663/5781/5908/5970/8767/6195/6197/27330/25970/6654/6655/7161/7189",45
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","36/2120","90/9399",0.4,1.77339622641509,3.97852030966112,0.000144285081298139,0.00148528760159849,0.00101401589642965,"207/29126/940/915/1147/1460/27436/3091/3265/3458/3459/3717/3725/5605/5608/5594/6300/1432/5595/2475/4773/4790/4793/5290/5296/8503/5533/5588/5781/10125/5970/6772/7097/7099/7189/7535",36
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","82/2120","253/9399",0.324110671936759,1.43694160638377,3.80205026521708,0.000167425428462609,0.00167425428462609,0.0011430247296545,"81/10096/653857/207/84335/22863/55054/9474/472/581/9564/8915/596/598/823/826/837/1147/2017/8454/3576/54205/9266/27128/9844/2308/4303/100132074/11146/2932/3553/3611/3661/3708/3709/3725/10892/84557/6885/5594/6300/1432/5595/5599/4193/2475/4636/10398/4671/4790/4793/5289/5290/5296/8503/30849/5331/5333/113026/5581/5588/29108/10616/5970/8767/55072/23176/10801/81858/8878/6714/10454/29110/92610/7099/7100/8717/7186/7188/7189/7307/7323",82
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","51/2120","142/9399",0.359154929577465,1.59230999202764,3.83802580611338,0.000187008489742621,0.00181813809471993,0.00124125518045541,"207/814/1147/1435/1540/2209/2212/2214/2355/2534/9846/3455/3458/3459/3553/3708/3709/3725/3726/3727/3937/353514/5608/5609/6885/5594/6300/1432/5595/5599/4773/4790/4791/5290/5296/8503/5533/5970/10326/55423/6688/8878/6772/6850/10454/7040/7048/169200/7186/7189/7297",51
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","38/2120","99/9399",0.383838383838384,1.70174385363065,3.7879525626749,0.00026217259857609,0.00248001106761166,0.00169312033788826,"115/207/572/581/596/595/1019/1565/28514/1871/2064/2852/1839/3265/3714/3725/5605/5594/6300/1432/5595/5599/4193/4313/4318/2475/8202/9611/4854/4855/5290/5296/8503/5567/5925/6654/6655/6714",38
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","33/2120","83/9399",0.397590361445783,1.76271311661741,3.76647693729536,0.000306907791414047,0.0028267822893399,0.00192986339753431,"121536/55252/8314/63035/8535/23466/23492/100532731/1460/8726/2146/64319/57666/221937/3054/3720/84456/84458/55777/114785/22823/8473/84759/7703/84333/5252/5928/6015/23429/6322/7323/10600/7874",33
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","61/2120","181/9399",0.337016574585635,1.49415980402377,3.62274814506164,0.000352043226753852,0.00315936229138072,0.00215691801546894,"207/537/527/572/581/8915/596/808/64170/843/836/841/64581/1378/1379/1520/54205/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3587/3553/3654/51135/3687/3717/3920/3929/4046/10892/5594/6300/1432/5595/5599/9902/4790/5289/5533/5869/5970/8767/56848/6714/6772/6850/7040/7043/7096/7097/7099/10333/8717/7189",61
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","24/2120","56/9399",0.428571428571429,1.90006738544474,3.64565573568795,0.000551493114130935,0.00482556474864568,0.00329444570809795,"836/841/1378/1379/2919/2920/2921/3576/54205/10767/3297/3303/3304/3553/4671/4790/4791/29108/81876/5970/9554/7097/7099/7100",24
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","26/2120","63/9399",0.412698412698413,1.82969451931716,3.565807266201,0.000665352938610929,0.00567984215887379,0.00387766667688526,"6868/83464/6310/28514/196403/1855/1856/1857/3280/23462/26508/83737/3714/2648/3955/9612/4854/4855/8650/9253/5663/11317/5986/7088/7089/7091",26
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","49/2120","142/9399",0.345070422535211,1.52986646292851,3.43340680705378,0.000713018359206066,0.00594181966005055,0.00405652048971872,"64682/10393/29882/51433/51434/330/57448/996/997/64326/8454/8453/8452/6923/55120/26232/26272/55294/51343/8925/83737/9817/55958/4214/4193/23295/4281/4734/8554/51588/5371/6502/7189/9320/55236/7323/7325/140739/7326/7329/51465/9040/55585/27338/55284/7337/9690/9354/51366",49
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","28/2120","70/9399",0.4,1.77339622641509,3.50496199593635,0.000763036088444329,0.00621075885943058,0.00424012710102479,"207/572/8453/112398/112399/6923/2271/201163/3091/3265/3725/5605/5594/5595/10298/5155/5290/5296/8503/5546/5781/5908/6654/6655/7030/7040/7043/7422",28
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","53/2120","157/9399",0.337579617834395,1.49665605095541,3.38666598841108,0.000797542802063765,0.00627695811960615,0.00428532178391156,"207/472/545/776/808/823/595/894/1019/3576/1871/1875/1978/2308/10912/2626/3134/3265/3708/3709/132660/5605/5608/5594/6300/1432/5595/9261/4193/2475/4605/4683/4773/4776/4790/5290/5296/8503/5533/83593/5925/5928/5934/5970/6237/5054/293/8878/7040/7043/7048/54822/7249",53
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","33/2120","87/9399",0.379310344827586,1.68166883539362,3.44715945584259,0.000827773684756606,0.00627695811960615,0.00428532178391156,"207/324/10297/8312/572/581/27113/596/10018/836/595/54205/10912/2932/3265/3725/51176/5605/5594/5595/5599/4437/2475/5290/5296/8503/51426/6654/6655/83439/7040/7043/7048",33
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","30/2120","77/9399",0.38961038961039,1.72733398676795,3.45839413571572,0.000842905804632825,0.00627695811960615,0.00428532178391156,"207/9459/572/581/598/675/595/1019/1147/1871/2064/10912/5594/5595/5599/2475/4790/5290/5296/8503/5338/51426/10928/5925/5970/6772/7040/7043/7048/7422",30
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","30/2120","77/9399",0.38961038961039,1.72733398676795,3.45839413571572,0.000842905804632825,0.00627695811960615,0.00428532178391156,"207/572/581/598/595/1019/1147/1871/9846/10912/3265/5605/5594/5595/4193/2122/4790/5290/5296/8503/51426/5781/5925/5970/861/6654/6655/7040/7043/7048",30
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","28/2120","71/9399",0.394366197183099,1.74841881477544,3.4160907045631,0.000992821992585181,0.00721450554398634,0.0049253917548418,"6868/537/527/8992/523/526/528/51382/836/1147/2919/2920/2921/3576/3577/3579/28964/1839/3725/4067/6416/6300/1432/5599/4790/5781/5970/6714",28
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","57/2120","173/9399",0.329479768786127,1.46074544661359,3.3008604907713,0.00101003077615809,0.00721450554398634,0.0049253917548418,"207/581/100529063/836/841/6347/1019/1147/3627/3576/54205/3337/5611/356/3112/3113/3122/3123/3126/11100/64135/3455/3458/3459/3553/51135/3661/3665/3717/3836/3838/5605/5594/5595/4790/4793/4928/4940/8106/5290/5296/8503/5371/5579/5644/29108/9230/5970/293/6772/29110/7099/8743/8717/7187/7297/7514",57
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","68/2120","214/9399",0.317757009345794,1.40877270322694,3.26436704255014,0.00106072705123016,0.00742508935861115,0.00506915875008942,"207/164/8907/8905/130340/27350/472/545/567/572/581/596/598/808/836/841/915/1147/8454/7852/54205/6923/356/2767/2776/2783/2790/3134/3265/3654/51135/3661/3708/3709/3725/3984/3985/5605/5608/5609/6885/5594/6300/1432/5595/5599/2475/4773/4776/4790/10298/5290/5296/8503/5533/5579/2185/5970/10454/6892/29110/7097/7099/8717/7186/7188/7189/494551",68
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","29/2120","75/9399",0.386666666666667,1.71428301886792,3.35158019822044,0.00117605034568615,0.00807093374490492,0.00551008108298772,"207/472/572/581/27113/596/598/330/836/841/54205/2064/2067/356/2949/2950/2953/4217/5594/5595/4193/4437/5290/5296/8503/5429/1317/7155/7507",29
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","28/2120","72/9399",0.388888888888889,1.72413522012579,3.32862386006786,0.00128045523504141,0.008590246561076,0.00586461945673459,"9474/64343/843/841/1147/3627/3576/1540/1654/64135/3661/3665/4214/6885/6300/1432/5599/4790/4793/5300/5970/10010/29110/9755/8717/7186/7187/7189",28
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","24/2120","59/9399",0.406779661016949,1.80345378957467,3.34089835227101,0.00134587064410629,0.008590246561076,0.00586461945673459,"207/324/10297/8312/572/581/595/999/2064/10912/2932/3265/3611/51176/5605/5594/5595/5290/5296/8503/51426/6654/6655/83439",24
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","39/2120","110/9399",0.354545454545455,1.57187392795883,3.25583171670549,0.00134902573095051,0.008590246561076,0.00586461945673459,"207/226/230/596/8453/1536/1906/112398/112399/1978/6923/2026/2064/3091/3458/3459/92483/4055/5605/5594/5595/2872/2475/4790/5163/5211/5214/5230/5290/5296/8503/5579/5970/5054/7010/7018/7037/7099/7422",39
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","37/2120","103/9399",0.359223300970874,1.5926131159553,3.26356002738498,0.00134989588816909,0.008590246561076,0.00586461945673459,"477/478/1300/1302/1305/1307/80781/169044/85301/340267/1282/1284/1286/1289/50509/1291/1292/256076/1294/1296/1297/1298/1299/1504/2006/3783/4311/643834/643847/5222/5547/5644/6564/120103/54407/6546/6550",37
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","77/2120","250/9399",0.308,1.36551509433962,3.16110046007593,0.00139833192498029,0.00873957453112683,0.00596656667237831,"20/175/84335/164/8907/8905/130340/160/8546/8943/55745/9907/55207/410/427/537/527/8992/523/526/528/51382/388552/54785/729991/8763/1201/1212/1486/1075/8722/1514/1520/1657/23312/1777/9583/2517/2519/2548/2581/26088/79158/84572/2799/151556/3074/3373/3425/3920/55004/389541/7805/4074/4125/4126/256471/2475/135112/4864/26031/200576/51296/121260/2030/120103/153129/80208/55014/9894/7030/51311/9675/8673/54832/23339/23335",77
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","34/2120","93/9399",0.365591397849462,1.62084601339014,3.24708485498045,0.00147177624638108,0.00895491581112392,0.00611358162142896,"207/581/596/598/330/836/595/1019/1147/1282/1284/1286/54205/1871/10912/3675/3655/3911/3913/4790/5290/5296/8503/51426/5743/5925/5970/6257/6502/7186/7187/7188/7189/7709",34
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","70/2120","224/9399",0.3125,1.38546580188679,3.15105960117271,0.00148395747727196,0.00895491581112392,0.00611358162142896,"115/207/64682/10393/29882/51433/51434/1386/1388/472/545/567/581/598/9184/595/894/915/996/1019/1147/23373/200186/1871/1958/2874/3112/3113/3122/3123/3126/3134/3265/3600/3559/3560/3561/3683/3725/2648/4055/8379/5605/6416/4214/5594/5595/5599/4316/4487/4773/4776/4790/4791/5290/5296/8503/5533/5567/5925/5970/293/6688/6722/387332/6929/7040/7043/7048/7514",70
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","26/2120","66/9399",0.393939393939394,1.74652658662093,3.28440273550371,0.00151129108213323,0.00896528608045134,0.00612066147447354,"2625/3112/3113/3122/3123/3126/3458/3459/8807/3553/50615/50616/3561/3725/4790/5970/6095/6772/6775/6778/30009/7040/7043/7097/7099/7100",26
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","21/2120","50/9399",0.42,1.86206603773585,3.29831970378011,0.00163889633154888,0.00956022860070182,0.00652683275897538,"6347/975/1378/1379/3576/3039/3040/3043/3458/3553/3683/3820/22914/5175/6382/6401/7040/7043/7060/7097/7099",21
